Município de notificação;Em Branco/ign;Semana 01;Semana 02;Semana 03;Semana 04;Semana 05;Semana 06;Semana 07;Semana 08;Semana 09;Semana 10;Semana 11;Semana 12;Semana 13;Semana 14;Semana 15;Semana 16;Semana 17;Semana 18;Semana 19;Semana 20;Semana 21;Semana 22;Semana 23;Semana 24;Semana 25;Semana 26;Semana 27;Semana 28;Semana 29;Semana 30;Semana 31;Semana 32;Semana 33;Semana 34;Semana 35;Semana 36;Semana 37;Semana 38;Semana 39;Semana 40;Semana 41;Semana 42;Semana 43;Semana 44;Semana 45;Semana 46;Semana 47;Semana 48;Semana 49;Semana 50;Semana 51;Semana 52;Semana 53;Total
260600 GARANHUNS;-;-;3;7;4;2;6;1;-;-;-;3;4;1;3;1;8;6;8;4;8;10;6;6;3;2;2;3;2;-;-;-;1;3;-;2;-;1;-;-;-;-;-;-;-;-;1;5;-;-;1;3;1;1;122
260610 GLORIA DO GOITA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
260620 GOIANA;2;-;1;-;1;-;1;1;3;1;3;4;4;4;-;1;-;2;1;3;2;4;-;1;2;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;1;-;1;50
260630 GRANITO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260640 GRAVATA;-;1;1;1;-;5;4;7;1;3;2;3;4;6;15;4;26;12;25;22;26;44;44;34;42;47;26;33;27;18;24;7;14;3;12;6;7;4;6;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;571
260650 IATI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
260660 IBIMIRIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;5
260670 IBIRAJUBA;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260680 IGARASSU;-;4;2;2;-;5;3;-;3;2;6;4;1;6;3;14;10;11;11;8;11;6;6;5;9;7;1;4;3;11;3;4;1;5;2;4;2;2;4;3;5;-;3;5;7;6;7;7;4;5;1;2;11;8;259
260690 IGUARACY;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
260700 INAJA;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;9
260710 INGAZEIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
260720 IPOJUCA;-;1;-;-;1;-;1;-;-;-;2;-;1;1;1;2;-;-;-;4;1;1;1;1;1;3;-;1;2;2;1;1;1;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;35
260740 ITACURUBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;13
260760 ILHA DE ITAMARACA;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10
260765 ITAMBE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
260770 ITAPETIM;1;-;-;-;1;2;3;7;4;3;2;8;5;8;11;12;11;6;5;5;3;1;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;106
260775 ITAPISSUMA;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;7
260780 ITAQUITINGA;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;6
260790 JABOATAO DOS GUARARAPES;-;1;2;-;2;1;1;1;2;1;1;-;2;1;1;1;-;1;-;-;5;1;4;3;7;6;9;22;9;10;7;4;2;4;11;13;18;20;11;19;20;14;25;42;31;39;49;38;49;28;17;32;6;9;602
260795 JAQUEIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
260800 JATAUBA;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
260805 JATOBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260810 JOAO ALFREDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260845 LAGOA DO CARRO;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
260850 LAGOA DE ITAENGA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
260860 LAGOA DO OURO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;10;6;26;12;17;21;26;12;11;9;19;6;3;5;4;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;195
260870 LAGOA DOS GATOS;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260875 LAGOA GRANDE;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;3;-;1;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
260880 LAJEDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
260890 LIMOEIRO;1;-;1;-;3;-;2;-;4;5;-;2;-;4;-;-;1;-;1;-;-;3;4;1;2;-;5;2;1;-;-;-;3;2;-;2;3;-;-;1;2;-;-;1;-;1;-;1;-;1;1;-;1;2;63
260900 MACAPARANA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;8
260910 MACHADOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
260915 MANARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260930 MIRANDIBA;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;8;1;2;-;3;6;3;11;18;14;3;4;7;22;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;109
260940 MORENO;-;-;-;-;-;5;-;3;2;1;-;-;-;-;-;-;2;-;-;-;-;-;2;2;-;5;-;5;1;1;-;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;42
260960 OLINDA;-;3;4;1;2;14;3;5;6;2;14;17;10;18;8;12;12;14;16;13;5;4;9;6;5;2;3;3;2;8;3;8;3;5;5;2;2;2;1;2;2;3;3;4;-;-;1;1;-;-;-;-;1;2;271
260980 OROCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260990 OURICURI;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
261000 PALMARES;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;2;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
261020 PANELAS;-;-;-;-;-;-;1;11;7;2;11;4;1;12;12;6;16;8;9;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104
261040 PARNAMIRIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;-;3;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
261050 PASSIRA;-;3;3;1;-;3;11;3;3;5;3;-;2;2;2;1;2;6;5;3;1;4;1;1;4;5;7;6;4;7;10;12;3;4;4;1;2;-;3;3;4;3;8;4;3;6;4;4;2;8;5;4;4;3;202
261060 PAUDALHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3;1;1;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;11
261070 PAULISTA;-;-;-;-;5;4;12;10;17;11;2;3;6;-;3;1;13;4;3;3;3;5;3;5;15;14;2;13;18;28;24;24;20;13;9;9;15;20;4;8;4;4;12;2;11;9;11;8;3;7;3;6;11;6;446
261080 PEDRA;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;1;-;4;-;3;-;2;2;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
261090 PESQUEIRA;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
261100 PETROLANDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;2;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
261110 PETROLINA;-;1;-;1;1;4;7;2;4;9;4;-;17;24;36;44;43;65;43;37;63;68;66;51;35;35;15;28;21;24;12;3;4;6;4;1;2;4;-;5;2;2;1;1;1;1;1;1;4;2;5;3;2;4;819
